,year,month,mean_temp,mean_overall_elect_use
0,2005,1,26.6,447.8
1,2005,2,28.5,437.1
2,2005,3,28.5,479.7
3,2005,4,28.7,533.6
4,2005,5,28.5,535.0
5,2005,6,28.8,560.2
6,2005,7,28.0,537.4
7,2005,8,28.2,528.8
8,2005,9,28.2,516.3
9,2005,10,27.6,520.0
10,2005,11,27.3,518.6
11,2005,12,27.3,478.0
12,2006,1,26.5,465.5
13,2006,2,27.5,452.3
14,2006,3,28.3,470.0
15,2006,4,27.6,511.3
16,2006,5,28.1,522.0
17,2006,6,27.8,533.2
18,2006,7,28.4,513.2
19,2006,8,28.3,544.2
20,2006,9,28.0,541.4
21,2006,10,28.3,525.7
22,2006,11,27.3,535.2
23,2006,12,26.6,495.0
24,2007,1,26.5,473.6
25,2007,2,27.3,444.4
26,2007,3,27.5,451.8
27,2007,4,28.1,511.0
28,2007,5,28.3,542.8
29,2007,6,28.4,556.0
30,2007,7,27.7,563.1
31,2007,8,27.7,555.0
32,2007,9,27.8,513.6
33,2007,10,27.8,514.7
34,2007,11,26.9,547.9
35,2007,12,26.4,489.9
36,2008,1,26.8,467.1
37,2008,2,26.7,472.7
38,2008,3,26.5,449.5
39,2008,4,28.1,491.5
40,2008,5,28.8,544.0
41,2008,6,28.2,572.5
42,2008,7,27.8,525.8
43,2008,8,27.4,510.1
44,2008,9,27.7,519.1
45,2008,10,27.6,522.1
46,2008,11,27.3,535.6
47,2008,12,26.9,484.0
48,2009,1,26.8,476.4
49,2009,2,27.3,460.5
50,2009,3,27.2,461.2
51,2009,4,28.5,510.5
52,2009,5,28.7,556.6
53,2009,6,29.1,609.5
54,2009,7,28.3,592.7
55,2009,8,28.3,572.1
56,2009,9,28.3,554.9
57,2009,10,28.2,557.4
58,2009,11,27.2,562.9
59,2009,12,27.1,516.0
60,2010,1,27.5,490.6
61,2010,2,28.9,503.9
62,2010,3,28.6,547.6
63,2010,4,28.6,585.0
64,2010,5,29.2,573.5
65,2010,6,28.3,606.0
66,2010,7,27.7,575.2
67,2010,8,27.9,539.7
68,2010,9,28.0,539.2
69,2010,10,28.3,557.8
70,2010,11,27.4,581.4
71,2010,12,26.8,536.2
72,2011,1,26.3,499.3
73,2011,2,27.3,461.7
74,2011,3,27.1,465.7
75,2011,4,27.9,524.4
76,2011,5,28.5,565.1
77,2011,6,28.4,602.8
78,2011,7,28.7,586.0
79,2011,8,27.9,590.6
80,2011,9,27.8,582.6
81,2011,10,27.3,557.7
82,2011,11,27.1,541.1
83,2011,12,26.6,505.9
84,2012,1,26.7,503.3
85,2012,2,27.2,505.0
86,2012,3,27.0,508.6
87,2012,4,27.6,540.9
88,2012,5,28.2,557.1
89,2012,6,28.7,607.9
90,2012,7,27.7,594.8
91,2012,8,27.9,585.6
92,2012,9,27.9,573.2
93,2012,10,27.7,560.2
94,2012,11,27.1,568.1
95,2012,12,26.7,524.8
96,2013,1,27.1,513.1
97,2013,2,26.5,498.0
98,2013,3,28.3,498.3
99,2013,4,28.2,568.3
100,2013,5,28.2,601.8
101,2013,6,29.0,629.6
102,2013,7,27.8,612.0
103,2013,8,27.9,617.5
104,2013,9,27.5,560.6
105,2013,10,27.7,555.0
106,2013,11,27.1,570.7
107,2013,12,26.5,530.1
108,2014,1,26.2,509.7
109,2014,2,27.2,489.3
110,2014,3,27.9,488.7
111,2014,4,28.2,568.1
112,2014,5,28.6,609.5
113,2014,6,29.0,639.0
114,2014,7,28.7,628.1
115,2014,8,27.7,635.5
116,2014,9,28.5,592.4
117,2014,10,28.4,580.9
118,2014,11,27.5,611.5
119,2014,12,27.0,571.8
120,2015,1,26.9,525.2
121,2015,2,27.0,493.6
122,2015,3,28.2,513.9
123,2015,4,28.6,594.2
124,2015,5,28.7,610.7
125,2015,6,29.0,632.3
126,2015,7,29.1,647.0
127,2015,8,28.4,656.7
128,2015,9,28.7,635.7
129,2015,10,28.7,643.6
130,2015,11,28.0,645.7
131,2015,12,27.7,622.4
132,2016,1,28.3,570.0
133,2016,2,27.8,580.1
134,2016,3,29.0,585.0
135,2016,4,29.4,648.3
136,2016,5,29.3,688.8
137,2016,6,28.5,708.2
138,2016,7,28.4,641.9
139,2016,8,28.9,646.7
